address,permit_no,permit_date,description,lead_status
"111 SCHOOL LN, WALCR CA 94597",B250577,05/09/2025,"(N) ATTACHED ADU",New
"2024 MALLARD DR, WALCR CA 94597",R26165,05/07/2026,"The location of ADU building has been moved. Please refer to attached revised Site Plan drawing Sheet A1.0. The changes has been shown with revision cloud delta 5. - REVISION TO B250797",New
"1590 3RD AVE, WALCR CA 94597",B260569,05/06/2026,"LEGALIZATION OF UNPERMITTED ADU in compliance with AB 2533, and Section 66332 (Attached ADU 708SQ.FT)",New
"298 NORMANDY LN, A, WALCR 94598",B240652,05/06/2024,"Pre-approved ADU plan 3-New construction",New
"2455 LARKEY LN, WALCR CA",B260547,05/03/2026,"Retro-active work- 2nd fl. Conversion of Closet into Kitchenette for ADU, Interior remodel and enclose windows in downstairs kitchen and installation of New Sliding Door (1st).",New
"1730 FIRST AV AVE, WALCR CA 94597",B250560,05/03/2025,"attached ADU",New
"2136 YOUNGS CT, A, WALCR 94596",B240643,05/03/2024,"NEW replacement SFR WITH ATTACHED 552 sf ADU, 1 bd",New
"3429 DEERPARK DR, WALCR CA 94598",B260531,04/29/2026,"748sq ft, detached ADU.",New
"2619 Smith Ranch, A, WALCR CA 94598",B250537,04/29/2025,"NEW 849 SF DETACHED ADU NO CHANGE TO LANDSCAPING NO CHANGE TO PARKING NO CHANGE TO IMPERVIOUS AREA NO CHANGE TO DRAINAGE",New
"2430 OVERLOOK DR, WALCR CA 94597",B240609,04/29/2024,"NEW ATTACHED ADU",New
"170 NORLYN DR, WALCR CA 94596",B250507,04/24/2025,"Converting existing garage and adjourning bathroom to junior ADU (450.7 sq ft) with kitchenette",New
"3288 HUDSON AV AVE, A, WALCR CA 94597",B250496,04/22/2025,"Conversion of existing detached garage, 407 sf, to an ADU (1 bedroom/1 bath).",New
"35 PINO CREST, WALCR CA 94598",B240567,04/22/2024,"Build one new 950 SF accessory dwelling unit (ADU) with one bedroom and one bathroom.",New
"1881 SHUEY AV AVE, WALCR CA 94596",R25109,04/21/2025,"Revised Scope: Due to recent updates in local and SB1211 state ADU regulations, the owner has elected to revise the project into a duplex ADU, with each unit measuring 749 sq. ft., and each containing 2 bedrooms and 1 bathroom. All changes have been marked under Delta #3. Original Scope: The original approved scope included a single detached ADU of 748 sq. ft. consisting of 2 bedrooms and 1 bathroom. -- REVISION TO B241213",New
"21 PRIMROSE CT, A, WALCR CA 94598",B250454,04/14/2025,"NEW (539 SF) DETACHED ADU w/ ATTACHED (18 SF) STORAGE SHED",New
"3116 MANOR AVE, WALCR CA 94597",R24112,04/11/2024,"1. Gas line drawing, this is showing where the gas line will come from the meter at our house to the ADU then to the stove location then go up to the attic and across to the gas water heater location. Then we will purchase the special vented door for the water heater as noted on the approved plans. 2. Roof vents and calculations, which is instead of the long roof vent there is separate vents in the roof along with the attic vents to meet the required numbers for ventilation. 3. Electrical plans shows a porch light added and the switch inside moved so its not behind the door along with 2 desk lights and switches in the bedrooms. Also these drawings show 240 outlets for the stove and water heater so there is an option to have either gas or electric in the future.",New
"1235 ARKELL RD, WALCR CA 94598",B250440,04/10/2025,"TEST- ADU notification -TEST ONLY",New
"1892 SUNNYVALE AVE, WALCR CA 94597",R25094,04/07/2025,"RELOCATED SOUTH EXTERIOR WALL OF ADU NORTH BY 5'. ADJUSTED SETBACK TO BE 4' WITH A FIRE RATED WALL TO B240766",New
"30 GARRON CT, WALCR CA 94596",B260422,04/06/2026,"New attached ADU 645 sf",New
"2832 FYNE DR, WALCR CA 94598",B240444,04/04/2024,"(N) ATTACHED ADU",New
